Variables = "Proc" "fcn calls" "tcpu (min)" "EP obj (J/K)" "sigTot_Rxn (J/K)" "sigTot_H2O (J/K)" "sigTot_Part (J/K)" "sigTot (J/K)" "sigTot_Rxn (%)" "sigTot_H2O (%)" "sigTot_Part (%)"
Zone T = "Optimization time = 1.543 (hr)"
62. 502. .13 19735057. 983088. 161639. 18590330. 19735057. 5. 1. 94.
55. 377. .13 19735116. 978746. 161645. 18594725. 19735116. 5. 1. 94.
47. 441. .13 19735146. 983847. 161641. 18589658. 19735146. 5. 1. 94.
63. 523. .13 19735150. 971841. 161647. 18601662. 19735150. 5. 1. 94.
64. 535. .13 19735191. 977743. 161641. 18595808. 19735191. 5. 1. 94.
5. 493. .13 19735214. 977296. 161639. 18596279. 19735214. 5. 1. 94.
58. 385. .13 19735221. 973250. 161637. 18600333. 19735221. 5. 1. 94.
40. 352. .13 19735282. 985937. 161639. 18587706. 19735282. 5. 1. 94.
68. 212. .13 19735316. 973537. 161642. 18600137. 19735316. 5. 1. 94.
66. 628. .13 19735350. 980324. 161639. 18593386. 19735350. 5. 1. 94.
25. 556. .13 19735359. 968132. 161648. 18605579. 19735359. 5. 1. 94.
79. 287. .13 19735372. 975394. 161638. 18598340. 19735372. 5. 1. 94.
43. 412. .12 19735447. 978119. 161638. 18595691. 19735447. 5. 1. 94.
19. 334. .13 19735471. 973826. 161640. 18600005. 19735471. 5. 1. 94.
27. 421. .13 19735482. 974346. 161644. 18599491. 19735482. 5. 1. 94.
2. 379. .13 19735503. 979244. 161638. 18594620. 19735503. 5. 1. 94.
75. 498. .13 19735540. 979277. 161638. 18594626. 19735540. 5. 1. 94.
29. 484. .13 19735589. 979450. 161638. 18594501. 19735589. 5. 1. 94.
89. 750. .13 19735616. 980150. 161638. 18593828. 19735616. 5. 1. 94.
20. 405. .13 19735732. 977255. 161634. 18596843. 19735732. 5. 1. 94.
76. 475. .12 19735755. 971873. 161637. 18602245. 19735755. 5. 1. 94.
52. 729. .13 19735781. 978110. 161639. 18596033. 19735781. 5. 1. 94.
10. 518. .13 19735831. 978379. 161635. 18595816. 19735831. 5. 1. 94.
81. 751. .13 19735851. 978723. 161638. 18595491. 19735851. 5. 1. 94.
